video,start,end,label,source,notes
data/long_videos/test2.mp4,1.0,2.0,shot_save,user_review,"User-reviewed rough label."
data/long_videos/test2.mp4,5.0,6.0,pass,user_review,"User-reviewed rough label."
data/long_videos/test2.mp4,7.0,10.0,other,user_review,"User-reviewed rough label."
data/long_videos/test2.mp4,15.0,16.0,pass,user_review,"User-reviewed rough label."
data/long_videos/test2.mp4,18.0,20.0,other,user_review,"User-reviewed rough label."
data/long_videos/test2.mp4,21.0,22.0,pass,user_review,"User-reviewed rough label."
data/long_videos/test2.mp4,22.0,23.0,pass,user_review,"User-reviewed rough label."
data/long_videos/test2.mp4,24.0,25.0,shot_save,user_review,"User-reviewed rough label."
data/long_videos/test2.mp4,26.0,30.0,other,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,3.0,4.0,pass,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,4.0,11.0,other,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,11.0,12.0,pass,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,12.0,13.0,pass,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,13.0,16.0,other,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,16.0,17.0,shot,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,19.0,24.0,other,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,25.0,26.0,pass,user_review,"User-reviewed rough label."
data/long_videos/test3.mp4,26.0,30.0,other,user_review,"User-reviewed rough label."
